                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77115,                0.61021,                 1.2688,                0.77861,                0.75033,                0.78953,                0.53045,                 1.2075,                 1.0034,                 1.8177,               0.006634,               0.006634,               0.006634
                     36,                0.76334,                0.60729,                 1.2651,                0.78167,                0.75621,                0.77407,                0.51826,                 1.1972,                0.99752,                 1.7976,               0.006535,               0.006535,               0.006535
                     37,                0.75554,                0.58953,                 1.2602,                0.74585,                0.75678,                 0.7662,                0.51679,                 1.1791,                 1.0229,                 1.7653,               0.006436,               0.006436,               0.006436
                     38,                0.74916,                0.58173,                  1.251,                 0.7689,                0.74663,                 0.7711,                0.51931,                 1.2165,                  1.066,                 1.8196,               0.006337,               0.006337,               0.006337
                     39,                0.73565,                0.57374,                 1.2438,                0.78576,                0.74438,                0.77511,                0.52558,                 1.2032,                 1.0572,                 1.8186,               0.006238,               0.006238,               0.006238
                     40,                 0.7361,                0.56076,                 1.2427,                 0.7724,                 0.7393,                0.77974,                 0.5183,                 1.2045,                 1.0205,                 1.8004,               0.006139,               0.006139,               0.006139
                     41,                 0.7355,                0.56823,                 1.2397,                0.78377,                0.75662,                0.78781,                0.52718,                 1.2066,                 1.0348,                 1.7984,                0.00604,                0.00604,                0.00604
                     42,                0.72699,                0.56061,                 1.2365,                0.77033,                0.76442,                0.76758,                0.51722,                 1.2207,                 1.0424,                 1.8274,               0.005941,               0.005941,               0.005941
                     43,                0.72304,                0.54773,                 1.2358,                0.78432,                0.75249,                0.77643,                0.52247,                 1.2065,                 1.0458,                 1.8294,               0.005842,               0.005842,               0.005842
                     44,                0.71524,                0.53883,                 1.2297,                0.77764,                0.74954,                0.76826,                0.51845,                 1.1957,                  1.064,                 1.8034,               0.005743,               0.005743,               0.005743
                     45,                0.70419,                0.52948,                 1.2149,                0.76349,                  0.769,                 0.7838,                0.53106,                 1.2142,                 1.0231,                 1.8341,               0.005644,               0.005644,               0.005644
                     46,                0.69987,                0.52293,                 1.2161,                0.79445,                0.74507,                0.78688,                0.52968,                 1.2149,                 1.0225,                  1.832,               0.005545,               0.005545,               0.005545
                     47,                0.69062,                 0.5154,                 1.2128,                0.77445,                0.77273,                0.76835,                0.51283,                 1.2349,                 1.0681,                 1.8795,               0.005446,               0.005446,               0.005446
                     48,                0.69382,                0.51452,                 1.2104,                0.78315,                0.75017,                  0.768,                0.51757,                 1.2007,                 1.0413,                  1.832,               0.005347,               0.005347,               0.005347
                     49,                0.68768,                0.51214,                  1.208,                0.79707,                0.72726,                0.77196,                0.51804,                 1.2175,                 1.0669,                 1.8424,               0.005248,               0.005248,               0.005248
                     50,                0.67932,                0.50472,                 1.2006,                0.79615,                0.75473,                0.77648,                0.52412,                 1.2168,                 1.0869,                 1.8592,               0.005149,               0.005149,               0.005149
                     51,                0.67514,                0.50246,                  1.198,                0.78489,                0.72797,                0.76064,                0.50777,                 1.2178,                 1.0759,                 1.8601,                0.00505,                0.00505,                0.00505
                     52,                0.67026,                0.49799,                 1.1927,                0.78417,                0.74011,                0.77313,                0.51961,                 1.2146,                 1.0522,                 1.8481,               0.004951,               0.004951,               0.004951
                     53,                0.66701,                0.48888,                 1.1896,                0.77362,                0.76839,                0.78069,                 0.5251,                 1.2275,                   1.06,                 1.8652,               0.004852,               0.004852,               0.004852
                     54,                 0.6509,                0.48825,                 1.1815,                 0.7886,                0.73694,                0.77372,                0.52744,                 1.2262,                 1.0321,                 1.8775,               0.004753,               0.004753,               0.004753
                     55,                0.65208,                0.48304,                 1.1812,                0.77243,                0.77326,                 0.7833,                 0.5329,                 1.2047,                 1.0479,                 1.8565,               0.004654,               0.004654,               0.004654
                     56,                0.64797,                0.47014,                 1.1781,                0.78002,                0.75669,                0.77274,                 0.5243,                 1.2171,                  1.047,                 1.8676,               0.004555,               0.004555,               0.004555
                     57,                0.64692,                0.47209,                 1.1775,                0.78548,                0.76148,                0.78316,                0.53106,                 1.2182,                 1.0295,                 1.8782,               0.004456,               0.004456,               0.004456
                     58,                0.64388,                0.46012,                 1.1727,                0.77074,                0.76486,                0.77201,                0.52931,                 1.2199,                 1.0734,                 1.8717,               0.004357,               0.004357,               0.004357
                     59,                0.63068,                0.46187,                 1.1629,                0.74967,                 0.7743,                0.76308,                0.51901,                 1.2281,                 1.0691,                 1.8695,               0.004258,               0.004258,               0.004258
                     60,                0.62381,                0.45882,                 1.1582,                0.76368,                0.75739,                0.76833,                0.52156,                   1.22,                 1.0646,                 1.8631,               0.004159,               0.004159,               0.004159
                     61,                0.62306,                0.45305,                 1.1579,                0.78062,                0.77392,                0.77721,                0.52881,                 1.2181,                 1.0442,                 1.8755,                0.00406,                0.00406,                0.00406
                     62,                0.61684,                0.44937,                 1.1561,                0.78021,                0.75785,                0.78028,                0.53047,                 1.2302,                 1.0799,                  1.896,               0.003961,               0.003961,               0.003961
                     63,                0.61736,                0.44541,                 1.1544,                0.77474,                0.76078,                0.77843,                 0.5273,                  1.244,                 1.0844,                  1.922,               0.003862,               0.003862,               0.003862
                     64,                0.60821,                0.44174,                 1.1458,                0.80023,                0.74074,                0.76949,                0.52619,                 1.2317,                  1.071,                 1.9088,               0.003763,               0.003763,               0.003763
                     65,                0.59566,                0.42802,                 1.1373,                0.77754,                 0.7657,                0.76689,                0.52909,                 1.2287,                 1.1065,                 1.9111,               0.003664,               0.003664,               0.003664
                     66,                0.59716,                0.42763,                 1.1404,                0.79081,                0.75411,                0.77317,                0.53242,                  1.242,                 1.1017,                 1.9367,               0.003565,               0.003565,               0.003565
                     67,                0.59461,                0.42939,                 1.1382,                0.78279,                0.76148,                0.77398,                0.53086,                 1.2338,                 1.0736,                 1.9216,               0.003466,               0.003466,               0.003466
                     68,                0.58798,                 0.4199,                 1.1347,                0.78822,                0.76316,                0.78139,                0.53142,                 1.2526,                 1.0675,                 1.9515,               0.003367,               0.003367,               0.003367
