                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1636,                 2.4954,                 1.6312,                0.45488,                0.53297,                0.47937,                0.26323,                 1.4918,                 1.9642,                 2.0628,                0.07007,              0.0033255,              0.0033255
                      1,                 1.0504,                 1.4264,                 1.5195,                0.51532,                0.53763,                0.49657,                0.31212,                 1.3484,                 1.8883,                 1.9497,               0.039741,              0.0063292,              0.0063292
                      2,                 1.0873,                 1.4361,                 1.5483,                0.47944,                 0.4384,                0.42296,                0.24261,                 1.5061,                 2.0307,                 2.1572,              0.0090812,              0.0090029,              0.0090029
                      3,                 1.1324,                 1.5091,                 1.5826,                0.61721,                0.58767,                0.61087,                0.36739,                 1.3513,                 1.4995,                  1.947,               0.008515,               0.008515,               0.008515
                      4,                 1.0881,                 1.4048,                 1.5463,                0.72854,                0.61821,                0.69033,                0.41642,                 1.3501,                 1.3034,                 1.9347,               0.008515,               0.008515,               0.008515
                      5,                 1.0501,                 1.3051,                 1.5182,                0.66475,                0.56548,                0.63412,                0.38116,                 1.3781,                 1.4861,                  1.957,                0.00802,                0.00802,                0.00802
                      6,                 1.0237,                 1.2295,                 1.4919,                0.72221,                0.65027,                0.72267,                0.47643,                 1.2218,                 1.1791,                 1.7701,               0.007525,               0.007525,               0.007525
                      7,                 0.9892,                 1.1581,                 1.4616,                0.67031,                0.66901,                0.69831,                0.42784,                 1.3142,                 1.2296,                 1.8629,                0.00703,                0.00703,                0.00703
                      8,                0.96327,                 1.0995,                 1.4452,                0.73197,                 0.7236,                0.77083,                 0.5264,                 1.1325,                 1.0118,                 1.7027,               0.006535,               0.006535,               0.006535
                      9,                0.94049,                 1.0485,                 1.4299,                0.78709,                0.73282,                0.80282,                0.55146,                 1.1009,                0.97275,                 1.6437,                0.00604,                0.00604,                0.00604
                     10,                0.92129,                0.91874,                 1.5795,                0.73789,                0.75552,                0.79143,                0.55115,                 1.0806,                0.99984,                 1.6336,               0.005545,               0.005545,               0.005545
                     11,                0.88406,                0.83906,                 1.5396,                 0.7549,                0.71254,                0.78141,                0.53964,                  1.114,                 1.0454,                 1.6618,                0.00505,                0.00505,                0.00505
                     12,                0.85647,                0.78466,                 1.5108,                0.82011,                0.76527,                0.84569,                0.59878,                 1.0431,                0.87239,                 1.5842,               0.004555,               0.004555,               0.004555
                     13,                0.82786,                 0.7138,                 1.4839,                0.79953,                0.81485,                0.86412,                0.62694,                 1.0046,                0.80587,                 1.5416,                0.00406,                0.00406,                0.00406
                     14,                0.79757,                0.66793,                 1.4515,                0.86222,                 0.8048,                0.88009,                0.64582,                0.98904,                0.78496,                 1.5284,               0.003565,               0.003565,               0.003565
                     15,                0.77239,                0.60567,                 1.4213,                0.85434,                0.84179,                0.89756,                 0.6459,                 1.0284,                0.74123,                 1.5497,                0.00307,                0.00307,                0.00307
                     16,                0.74804,                 0.5628,                 1.4054,                0.85215,                0.86604,                0.90755,                0.66855,                0.98273,                0.70411,                 1.5055,               0.002575,               0.002575,               0.002575
                     17,                0.72041,                0.51951,                 1.3729,                0.89702,                0.86251,                0.92672,                0.70008,                 0.9397,                0.64199,                 1.4565,                0.00208,                0.00208,                0.00208
                     18,                0.69267,                0.47465,                 1.3446,                0.90226,                0.87018,                0.92657,                0.70193,                0.93503,                0.62127,                 1.4652,               0.001585,               0.001585,               0.001585
                     19,                0.66806,                0.43368,                  1.317,                0.90358,                0.88619,                0.93603,                 0.7231,                0.91526,                0.59504,                  1.438,                0.00109,                0.00109,                0.00109
